Word 	 	 	 	Count

explain     8

explanation 4

exporting   1

express     1

expressing  1

expression  1

extent      1

extraordinary2

extremely   1

eye         7

eyelids     1

eyes        27

eyesand     1

face        14

faceand     1

faces       5

facility    1

fact        7

fading      1

failure     1

faint       1

fainting    1

faintly     1

fair        1

fairbanks   1

fairytales  1

fall        7

fallen      4

falling     2

familiarly  1

family      1

fan         10

fancied     2

fancy       5

fancying    1

fanned      1

fanning     1

far         10

farmer      1

farmyardwhile1

farther     1

fashion     1

fast        4

faster      2

fat         1

father      6

favoured    1

favourite   1

fear        4

feared      1

feather     1

feathers    1

federal     2

fee         8

feeble      2

feebly      1

feel        8

feeling     6

feelings    2

fees        4

feet        18

fell        6

fellow      2

fellows     1

felt        23

fender      1

ferrets     2

fetch       5

few         10

fidgeted    1

field       1

fifteen     1

fifth       1

fight       2

fighting    1

figure      1

file        2

files       2

filled      3

fills       1

financial   1

find        20

finding     3

finds       1

fine        2

finger      5

finish      5

finished    10

finishing   1

fire        3

fireirons   1

fireplace   1

first       44

firstthey   1

firstverdict1

fish        3

fishand     1

fishes      1

fishfootman 2

fit         2

fitness     1

fits        1

fitted      1

five        8

fix         2

fixed       1

flame       1

flamingo    5

flamingoes  1

flapper     1

flappers    1

flashed     1

flat        2

flavour     1

flew        1

flinging    1

flock       1

floor       3

flowerbeds  1

flowerpot   1

flowers     2

flown       1

flung       1

flurry      1

flustered   1

fluttered   1

fly         3

flying      1

folded      3

folding     1

follow      3

followed    8

following   3

follows     3

fond        3

fondofof    1

foolish     1

foot        10

footman     10

footmen     1

footsteps   2

for         167

forehead    2

forepaws    1

forget      2

forgetting  3

forgot      2

forgotten   6

fork        1

form        5

format      4

formats     2

forth       8

fortunately 1

fortytwo    1

forwards    1

found       32

foundation  20

fountains   2

four        6

france      1

free        8

freely      4

french      3

friend      3

friends     2

fright      2

frighten    1

frightened  7

frog        2

frogfootman 1

from        48

front       2

frontispiece1

frowning    4

fryingpan   1

fulcrum     1

full        19

fumbled     1

fun         1

funny       3

fur         3

furious     1

furiously   1

furrow      1

furrows     1

further     4

fury        2

future      3

gained      1

gallons     1

game        10

games       1

garden      13

gardeners   8

gardenhow   1

gather      1

gave        15

gay         1

gazing      1

general     6

generally   7

generations 2

gently      3

geography   1

get         43

getting     21

girl        3

girls       3

give        13

given       2

giving      2

glad        11

glanced     1

glaring     1

glass       9

globe       1

gloomily    1

gloves      10

glovesthat  1

go          45

goals       1

goes        7

going       27

golden      7

goldfish    2

gone        13

good        24

goodbye     1

goodnatured 1

goodnaturedly1

goose       2

got         45

govern      1

graceful    1

grammar     1

grand       3

grant       1

granted     1

grass       4

gratefully  1

grave       3

gravely     3

gravy       1

grazed      1

great       39

green       4

gregory     1

grew        1

grey        1

grief       1

grin        4

grinned     3

grinning    1

grins       1

gross       1

ground      3

groundand   1

group       1

grow        13

growing     10

growl       3

growled     1

growls      1

grown       7

grumbled    1

grunted     4

gryphon     55

guard       1

guess       3

guessed     3

guests      3

guineapig   2

guineapigs  3

gutenberg   23

gutenbergtm 56

had         177

hair        6

half        21

halfpast    2

hall        9

hand        18

handed      3

hands       12

handsome    1

hanging     3

happen      7

happened    7

happening   1

happens     4

happy       1

hard        8

hardly      12

hare        31

harm        1

harmless    1

hart        2

has         9

haste       1

hastily     16

hatching    1

hate        1

hatec       1

hated       1

hatter      54

hatters     1

have        82

having      10

he          114

head        40

headbrandy  1

heads       9

heap        1

hear        15

heard       29

hearing     4

heart       2

hearth      1

hearthrug   1

hearts      8

heavy       2

hedge       1

hedgehog    7

hedgehogs   3

heels       1

height      5

held        4

help        12

helped      1

helpless    1

her         247

here        32

hers        3

herself     83

hersshe     1

hid         1

hide        1

high        14

highest     1

him         38

himhow      1

himit       1

himself     6

hint        2

hippopotamus1

his         95

hiss        1

histories   1

history     6

hit         2

hoarse      3

hoarsely    1

hold        7

holder      4

holding     3

hollow      1

home        3

honest      1

honour      2

hookah      5

hope        4

hoped       1

hopeful     1

hopeless    1

hoping      3

hot         5

hour        2

hours       4

house       17

houses      1

how         50

however     20

howled      1

howling     3

humble      1

humbly      2

hundred     1

hundreds    1

hung        1

hungry      3

hunting     3

hurried     11

hurriedly   2

hurry       11

hurrying    1

hurt        3

hypertext   1

i           265

idea        14

identification1

identify    1

if          93

ifif        1

ignorant    1

ii          1

iii         1

imagine     2

imitated    1

immediate   3

immediately 3

immense     1

impatient   1

impatiently 5

implied     2

important   4

imposed     1

impossible  3

improve     1

in          416

inaccurate  1

incessantly 1

inches      6

incidental  1

inclined    1

include     1

included    3

includes    1

including   8

incomplete  1

increasing  1

indeed      8

indemnify   1

indemnity   1

indicate    1

indicating  1

indignant   1

indignantly 4

indirect    1

indirectly  1

individual  4

information 7

infringement1

injure      1

ink         1

inkstand    1

inquired    1

inquisitively1

inside      2

insolence   1

instance    3

instantly   5

instead     2

insult      1

intellectual2

interest    1

interesting 5

internal    1

international1

interpreted 1

interrupt   1

interrupted 9

interrupting2

into        67

introduce   2

introduced  1

invalidity  1

invent      1

invented    1

invitation  2

invited     1

involved    1

inwards     1

irritated   1

irs         1

is          114

isoh        1

it          461

itonce      1

its         63

itself      14

itthat      1

iv          1

ix          1

jackinthebox1

jar         2

jaw         1

jaws        1

jellyfish   1

jogged      1

join        9

joined      3

journey     1

joys        1

judge       3

judging     1

jumped      6

jumping     4

june        1

juror       1

jurors      3

jury        15

jurybox     3

jurymen     4

just        48

justice     1

keep        11

keeping     4

kept        13

kettle      1

key         9

kick        3

kid         5

kill        1

killing     1

kills       1

kind        7

kindly      2

king        60

kings       1

kiss        1

kissed      1

kitchen     4

knave       9

knee        5

kneel       1

knelt       1

knew        15

knife       2

knock       1

knocked     1

knocking    1

knot        1

know        61

knowand     1

knowing     2

knowledge   3

known       1

knowno      1

knows       2

knuckles    1

label       2

labelled    1

lacie       1

ladderwhy   1

ladhere     1

lady        2

laid        2

lake        1

lamps       1

land        1

language    1

languid     1

lap         2

large       33

larger      7

largest     1

lark        1

last        33

lasted      2

lastly      1

late        4

lately      1

later       3

latin       1

latitude    2

laugh       1

laughed     2

laughing    2

laughter    1

law         4

laws        8

lay         4

lazily      1

lazy        1

leaders     1

leading     1

leaning     2

leant       1

leap        1

learn       7

learned     1

learning    2

learnt      2

least       8

leastat     1

leave       7

leaves      6

leaving     1

led         4

ledge       1

left        14

lefthand    2

legal       2

legally     1

legs        3

length      1

less        3

lessen      1

lesson      1

lessonbook  1

lessons     6

lest        1

let         13

letter      4

letters     1

lewis       4

liability   3

liable      1

library     1

license     15

licensed    1

licking     1

lie         2

lieu        2

life        9

lifted      1

like        78

liked       5

likely      4

limbs       1

limitation  3

limited     5

line        2

linked      2

links       3

lips        1

list        3

listen      7

listened    1

listeners   1

listening   3

lit         1

literary    13

little      125

live        8

lived       3

livery      3

lives       2

living      1

lizard      5

lobster     6

lobsters    6

located     4

locations   2

lock        1

locked      1

locks       2

lodging     1

london      1

lonely      2

long        33

longed      2

longer      2

longitude   2

look        27

looked      45

looking     30

lookingglass1

lookout     1

loose       2

lory        7

lose        1

losing      1

lost        3

lot         1

loud        6

louder      1

loudly      3

love        3

loveliest   1

lovely      2

loving      1

low         14

lowing      1

lowspirited 1

luckily     2

lullaby     1

lying       8

m           1

ma          1

mabel       4

machine     1

machines    1

mad         9

madat       1

made        30

magic       1

magpie      1

main        1

maintaining 1

majesty     2

make        29

makes       12

making      8

mallets     1

man         3

manage      6

managed     4

managing    1

manner      2

manners     1

many        14

maps        1

march       33

marched     1

marchjust   1

mark        3

marked      8

mary        3

master      3

matter      8

matters     2

maximum     1

may         27

me          54

meal        1

mean        8

meaning     8

means       6

meant       4

meanwhile   1

measure     1

meat        1

medium      5

meekly      2

meet        3

meeting     1

melan       1

melancholy  6

memorandum  1

memory      1

mentioned   3

merchantibility1

mercia      2

merely      2

merrily     1

messages    2

met         4

method      1

methods     1

mice        3

miceoh      1

michael     2

middle      7

middleaged  1

might       28

mile        2

miles       3

milk        1

milkjug     1

millennium  1

mind        7

minded      1

minding     1

mine        4

minea       1

mineral     1

minute      20

minutes     11

mischief    1

miserable   2

miss        3

missed      2

mission     4

mississippi 1

mistake     3

mixed       2

mock        56

moderate    1

modern      1

modification1

modified    1

moment      28

money       3

month       2

moon        1

moral       7

morals      1

morcar      2

more        47

moreas      1

morning     4

morsel      1

most        11

mostly      1

mournful    1

mournfully  1

mouse       35

mousea      1

mouseo      1

mouseof     1

mouseto     1

mousetraps  1

mouth       10

mouths      3

mouthsand   1

move        3

moved       5

moving      3

much        44

muchnessyou 1

muddle      1

multiplication1

murder      1

murdering   1

muscular    1

mushroom    7

music       1

must        53

mustard     2

mustardmine 1

muttered    2

muttering   3

my          56

myself      4

name        11

named       1

names       1

narrow      2

nasty       1

natural     4

near        15

nearer      5

nearly      12

neat        1

neatly      2

necessarily 1

neck        7

need        1

needs       1

negligence  1

neighbour   1

neighbouring1

neither     2

nervous     5

nest        1

network     1

never       41

neverending 1

nevertheless1

new         8

newby       1

newsletter  1

newspapers  1

next        29

nibbled     2

nibbling    3

nice        6

nicely      2

night       3

nightair    1

nile        1

nine        4

no          83

nobody      6

nodded      1

noise       3

noises      1

non         1

none        4

nonproprietary1

nonsense    2

nor         2

north       1

northumbria 1

nose        7

not         142

notebook    2

nothing     29

notice      8

noticed     8

noticing    1

notifies    1

notion      3

now         35

nowbut      1

nowhere     2

number      8

numerous    1

nurse       2

nurseand    1

nursing     3

o           1

obliged     3

oblong      1

obsolete    1

obstacle    1

obtain      3

obtaining   2

occasional  1

occasionally1

occur       1

occurred    2

october     1

odd         1

of          610

off         61

offend      1

offended    9

offer       2

offers      1

office      2

officer     1

officers    4

official    3

often       6

oh          15

ointmentone 1

old         18

older       2

oldest      1

on          192

once        28

one         91

onebut      1

ones        1

oneself     1

onethe      1

online      4

only        47

open        7

opened      10

opening     3

opportunities1

opportunity 9

opposite    1

or          147

order       2

ordered     3

ordering    2

organized   1

original    1

originator  1

ornamented  2

other       52

otherbill   1

others      7

otherwise   3

ought       14

our         12

ours        1

ourselves   1

out         113

outdated    1

outoftheway 3

outside     5

over        37

overcome    1

overhead    1

owed        1

owl         3

own         10

owner       5

owns        2

pack        5

page        2

pages       1

paid        6

paint       1

painting    2

pair        5

pairs       1

pale        4

panted      1

panther     3

panting     2

paper       5

paperwork   1

paragraph   11

paragraphs  3

parchment   2

pardon      1

paris       2

part        5

particular  5

particularhere1

particularly1

parts       1

party       9

pass        1

passage     4

passed      5

passing     1

passion     3

passionate  1

past        1

pat         2

patience    1

patiently   2

patriotic   1

patted      1

pattering   3

pattern     1

pause       2

paused      1

paw         3

paws        4

pay         1

paying      2

payments    3

pebbles     2

peeped      3

peeping     1

peering     1

pegs        1

pence       1

pencil      1

pencils     1

pennyworth  2

people      15

pepper      6

pepperbox   1

perfectly   4

perform     1

performances1

performed   1

performing  3

perhaps     12

periodic    1

permanent   1

permission  7

permitted   3

persisted   2

person      7

personal    2

persons     1

pet         1

pg          1

pglaf       1

phrase      4

physical    2

picked      3

picking     2

picture     1

pictured    1

pictures    4

pie         1

piece       5

pieces      3

piecrust    1

pig         5

pigbaby     1

pigeon      12

pigs        2

pinch       2

pinched     2

pineapple   1

pink        1

piteous     1

pitied      1

pity        2

place       9

placed      1

plainly     1

plan        2

planning    1

plate       3

plates      2

play        8

played      1

players     4

playing     2

pleaded     3

pleasant    1

pleasanter  1

please      18

pleased     7

pleasing    1

pleasure    2

plenty      2

pocket      4

pointed     1

pointing    4

poker       1

poky        1

politely    6

pool        10

poolshe     1

poor        26

pop         1

pope        1

porpoise    2

position    2

positively  1

possessed   1

possession  1

possibility 1

possible    1

possibly    3

posted      5

posting     1

pounds      1

pour        1

poured      1

powdered    1

practically 1

practice    1

pray        2

precious    1

prepare     2

present     1

presentat   1

presented   1

presently   2

presents    2

preserve    1

pressed     3

pressing    1

pretend     1

pretending  1

pretexts    1

pretty      1

prevent     2

previous    1

principal   1

print       1

printed     3

prisoner    1

prize       1

prizes      1

problem     1

proceed     1

processing  1

procession  4

processions 1

produce     1

produced    2

producing   1

production  1

professor   1

profit      1

profits     1

prohibition 1

project     82

prominently 2

promise     1

promised    1

promising   1

promoting   2

promotion   1

pronounced  1

proofread   1

proper      3

property    2

proposal    1

proprietary 1

prosecute   1

protect     2

protection  1

proud       2

prove       1

proved      2

proves      2

provide     7

provided    4

providing   4

provision   1

provisions  1

provoking   1

public      9

puffed      1

pulled      1

pulling     1

punching    1

punished    1

punitive    1

puppy       6

purple      1

purpose     2

purring     2

push        1

put         31

putting     3

puzzled     9

puzzling    4

quadrille   3

quarrel     1

quarrelled  1

quarrelling 2

queen       65

queens      1

queer       10

queerest    1

queerlooking1

queershaped 1

question    15

questions   3

questionshow1

quick       2

quicker     1

quickly     2

quiet       2

quietly     5

quite       55

quiver      1

rabbit      42

rabbithole  3

rabbitholeand1

rabbits     1

race        2

racecourse  1

railway     1

raised      2

raising     1

ran         16

rapidly     2

rapped      1

rate        8

rather      25

rathole     1

rats        1

rattle      1

rattling    2

raven       1

ravens      1

raving      2

reach       4

reaching    2

read        13

readable    2

readily     1

reading     4

ready       8

real        3

realitythe  1

really      9

rearing     1

reason      9

reasonable  2

reasons     1

receipt     2

receive     3

received    6

receiving   1

recognised  1

recovered   2

red         2

redhot      1

redistribute1

redistributing2

redistribution2

reduced     1

reedsthe    1

references  2

refund      9

refused     1

registered  2

regular     2

regulating  1

release     1

relief      2

relieved    1

remain      2

remained    3

remaining   2

remark      10

remarkable  2

remarked    10

remarking   3

remarks     2

remedies    1

remember    12

remembered  5

remembering 1

reminding   1

remove      1

removed     2

renamed     1

repeat      6

repeated    10

repeating   3

replace     1

replacement 5

replied     29

reply       5

reported    1

reports     1

representations1

request     1

require     1

required    1

requirements4

research    2

resource    1

respect     1

respectable 1

respectful  1

rest        10

resting     2

restrictions2

result      1

retire      1

return      3

returned    2

returning   1

returns     1

reuse       2

revenue     1

rich        1

riddle      1

riddles     1

riddlesi    1

ridge       1

ridges      1

ridiculous  1

right       28

righthand   2

rightly     1

ring        2

ringlets    2

riper       1

rippling    1

rise        1

rises       1

rising      1

roared      1

roast       1

rock        1

rome        1

romeno      1

roof        6

room        11

roots       1

ropewill    1

rose        1

roses       2

rosetree    4

roughly     1

round       40

row         2

